index,timestamp_utc,delta_ms,direction,group,command,cmd_value,kind,status,decoded,payload_len,payload_hex
19799,2026-08-27 20:07:21.853158,6.594,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=03 ad 04 63 05 00 05 4b,148,04 00 91 00 03 ad 04 63 05 00 05 4b 05 70 05 7e 05 48 04 e2 04 71 03 eb 03 1b 02 55 01 99 00 c2 ff fc ff 44 fe ab fe 07 fd a6 fd 59 fd 1e fd 0c fd 14 fd 39 fd 70 fd c2 fe 08 fe 70 fe d2 ff 27 ...(+84B)
19800,2026-08-27 20:07:21.910318,57.160,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19801,2026-08-27 20:07:21.911340,1.022,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19802,2026-08-27 20:07:21.917796,6.456,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=ff e6 ff fd 00 14 00 10,148,04 00 91 00 ff e6 ff fd 00 14 00 10 00 20 00 26 00 31 00 2d 00 49 00 35 00 44 00 49 00 25 00 20 00 12 00 04 ff f3 ff f1 ff ee ff e5 ff d3 ff da ff dd ff cd ff d0 ff d3 ff c2 ff c8 ff ce ff d6 ...(+84B)
19803,2026-08-27 20:07:21.937322,19.526,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19804,2026-08-27 20:07:21.937827,0.505,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19805,2026-08-27 20:07:21.941714,3.887,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=00 1c 00 11 00 20 00 10,148,04 00 91 00 00 1c 00 11 00 20 00 10 00 0d 00 0d ff fb ff fc 00 00 ff fb ff fa ff fd ff ff ff f2 ff f3 ff fc 00 0a 00 0b ff fd 00 08 00 14 00 0e 00 09 00 12 00 03 00 07 00 0a 00 08 00 02 00 08 ...(+84B)
19806,2026-08-27 20:07:21.963917,22.203,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19807,2026-08-27 20:07:21.964709,0.792,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19808,2026-08-27 20:07:21.970048,5.339,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=ff fd 00 0f 00 00 00 03,148,04 00 91 00 ff fd 00 0f 00 00 00 03 00 05 00 05 ff fc 00 0e 00 0d 00 10 ff fe 00 02 ff f3 ff f8 ff fc ff ff ff fe 00 01 00 05 00 03 00 02 00 04 00 04 00 0f 00 0e 00 06 ff ff 00 08 00 02 00 00 ...(+84B)
19809,2026-08-27 20:07:22.025467,55.419,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19810,2026-08-27 20:07:22.040900,15.433,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19811,2026-08-27 20:07:22.046004,5.104,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=00 0a ff fd 00 14 ff fe,148,04 00 91 00 00 0a ff fd 00 14 ff fe 00 05 ff fd 00 06 00 03 ff ff 00 0d ff fd ff fe ff ff 00 00 00 03 00 02 ff fe 00 04 00 01 00 02 00 01 ff fb 00 03 ff fe ff fa 00 01 00 02 ff fe 00 00 ff fb ...(+84B)
19812,2026-08-27 20:07:22.085386,39.382,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19813,2026-08-27 20:07:22.086614,1.228,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19814,2026-08-27 20:07:22.089824,3.210,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=00 00 ff fc 00 06 00 06,148,04 00 91 00 00 00 ff fc 00 06 00 06 00 0f ff f5 00 01 00 06 00 0d 00 03 00 05 ff fe 00 01 00 04 00 03 ff fd 00 07 ff fb 00 0f 00 02 ff f9 ff ff 00 0a 00 0a ff f7 00 00 00 03 00 09 00 00 00 02 ...(+84B)
19815,2026-08-27 20:07:22.110276,20.452,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19816,2026-08-27 20:07:22.111486,1.210,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19817,2026-08-27 20:07:22.114590,3.104,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=ff f9 ff f7 ff f2 00 01,148,04 00 91 00 ff f9 ff f7 ff f2 00 01 00 09 00 0a ff ed ff fd ff f8 ff fe 00 02 00 06 ff f4 ff ff ff f8 ff fa ff fb ff fd 00 08 00 01 ff fb 00 05 00 0c ff f9 00 05 ff f8 00 07 ff f6 00 00 00 0c ...(+84B)
19818,2026-08-27 20:07:22.152224,37.634,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19819,2026-08-27 20:07:22.153325,1.101,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19820,2026-08-27 20:07:22.158643,5.318,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=00 00 ff f4 ff fe 00 09,148,04 00 91 00 00 00 ff f4 ff fe 00 09 ff fa 00 07 ff f4 ff fa ff fb 00 09 00 07 00 00 ff fb ff f9 00 00 00 07 ff fb ff f8 ff fb ff f4 ff ff 00 01 00 0a 00 01 ff f6 ff fd 00 02 00 06 ff f9 ff f5 ...(+84B)
19821,2026-08-27 20:07:22.201076,42.433,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
19822,2026-08-27 20:07:22.203652,2.576,RADIO->APP,extended,BT_EVENT_NOTIFICATION,16387,notification,,UPDATE_DATA_BYTES_REQ bytesRequested=144 bytesSkip=0,12,12 03 00 08 00 00 00 90 00 00 00 00
19823,2026-08-27 20:07:22.208787,5.135,APP->RADIO,extended,VM_CONTROL,1602,request,,UPDATE_DATA isFinal=0 chunkLen=144 first=ff fc 00 01 ff ff 00 06,148,04 00 91 00 ff fc 00 01 ff ff 00 06 00 05 ff f9 00 03 00 0a 00 06 ff fa ff fc 00 00 00 00 ff f8 00 04 ff ff ff f8 ff fa 00 06 00 0a ff fe ff ff ff ff ff ff 00 05 00 11 00 08 00 03 ff fd ff f2 ...(+84B)
19824,2026-08-27 20:07:22.262839,54.052,RADIO->APP,extended,VM_CONTROL,1602,response,success,VM_CONTROL reply,1,00
